                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 5.2892,                 6.2432,                 4.8996,                      0,                      0,                      0,                      0,                 5.7484,                 5.0684,                 4.1602,               3.75e-05,               3.75e-05,               3.75e-05
                      1,                 5.0341,                 5.5634,                 4.7496,                      0,                      0,                      0,                      0,                 5.7488,                 5.0734,                 4.1638,             7.9641e-05,             7.9641e-05,             7.9641e-05
                      2,                  3.689,                 3.9995,                 4.1458,                      0,                      0,                      0,                      0,                 5.7579,                 5.0875,                 4.1731,             0.00012005,             0.00012005,             0.00012005
                      3,                 3.0205,                 3.2152,                 3.6092,                      0,                      0,                      0,                      0,                 5.7694,                 5.1042,                 4.1856,             0.00015873,             0.00015873,             0.00015873
                      4,                 2.7764,                 3.2303,                   3.21,                      0,                      0,                      0,                      0,                 5.7861,                 5.1318,                 4.2079,             0.00019567,             0.00019567,             0.00019567
                      5,                 2.3766,                 2.4938,                 2.8298,                      0,                      0,                      0,                      0,                 5.8065,                  5.158,                 4.2261,             0.00023088,             0.00023088,             0.00023088
                      6,                 2.1914,                  2.315,                 2.5908,                      0,                      0,                      0,                      0,                 5.8275,                 5.1841,                 4.2511,             0.00026436,             0.00026436,             0.00026436
                      7,                 1.9824,                 2.2057,                 2.6432,                      0,                      0,                      0,                      0,                 5.8403,                 5.2033,                   4.27,             0.00029611,             0.00029611,             0.00029611
                      8,                  1.908,                 2.0875,                 2.2664,                      0,                      0,                      0,                      0,                 5.8562,                 5.0597,                 4.2961,             0.00032612,             0.00032612,             0.00032612
                      9,                  1.736,                 1.9621,                 2.1935,                      0,                      0,                      0,                      0,                 5.8687,                 5.2261,                 4.3119,              0.0003544,              0.0003544,              0.0003544
                     10,                  1.679,                 1.6731,                 2.0585,                      0,                      0,                      0,                      0,                 5.8765,                 5.2477,                 4.3267,             0.00038095,             0.00038095,             0.00038095
                     11,                 1.5234,                  1.602,                 1.9741,                      0,                      0,                      0,                      0,                 5.8872,                 5.2326,                 4.3355,             0.00040577,             0.00040577,             0.00040577
                     12,                 1.6501,                 1.6856,                 1.8684,                      0,                      0,                      0,                      0,                 5.8897,                 5.2303,                 4.3401,             0.00042885,             0.00042885,             0.00042885
                     13,                  1.506,                 1.6661,                 1.7523,                      0,                      0,                      0,                      0,                 5.8902,                   5.06,                 4.3398,              0.0004502,              0.0004502,              0.0004502
                     14,                 1.4743,                 1.5223,                 1.7321,                      0,                      0,                      0,                      0,                 5.8879,                 5.0111,                  4.336,             0.00045175,             0.00045175,             0.00045175
                     15,                 1.5892,                 1.5975,                 1.8277,                      0,                      0,                      0,                      0,                 5.7231,                 4.8952,                 4.2632,             0.00045175,             0.00045175,             0.00045175
                     16,                 1.3676,                 1.4783,                 1.6616,                0.06548,                0.05968,                0.05215,                0.01801,                 5.1405,                 4.5866,                 4.0721,             0.00043937,             0.00043937,             0.00043937
                     17,                 1.3169,                 1.3071,                 1.5495,                0.08893,                0.42256,                0.23673,                0.08923,                  3.568,                  3.648,                 3.3659,               0.000427,               0.000427,               0.000427
                     18,                 1.2932,                 1.2621,                 1.4964,                 0.6794,                0.19354,                0.36321,                0.14351,                 2.6884,                 2.9438,                 2.7421,             0.00041462,             0.00041462,             0.00041462
                     19,                 1.2356,                 1.1659,                 1.4136,                0.62696,                 0.3979,                0.58798,                0.27402,                 2.0349,                 2.3758,                 2.2661,             0.00040225,             0.00040225,             0.00040225
                     20,                  1.211,                 1.1812,                 1.4408,                0.67108,                0.51735,                 0.7079,                0.41382,                 1.6015,                 2.1496,                 1.9214,             0.00038988,             0.00038988,             0.00038988
                     21,                   1.14,                 1.1753,                  1.428,                0.62208,                0.71787,                0.88554,                0.51439,                 1.4281,                 1.7039,                 1.7252,              0.0003775,              0.0003775,              0.0003775
                     22,                 1.1259,                 1.0923,                 1.3918,                0.71427,                0.84777,                0.94736,                0.65985,                 1.1207,                  1.262,                 1.4572,             0.00036513,             0.00036513,             0.00036513
                     23,                 1.1853,                 1.1043,                 1.3791,                0.79973,                0.88886,                0.97064,                0.71441,                0.95923,                 1.0989,                 1.3805,             0.00035275,             0.00035275,             0.00035275
                     24,                 1.0892,                 1.0897,                 1.3408,                0.89286,                0.84431,                0.97166,                0.74615,                0.96825,                 1.0338,                 1.3176,             0.00034038,             0.00034038,             0.00034038
                     25,                 1.0757,                 1.0251,                 1.3301,                  0.899,                0.88864,                0.97233,                0.73836,                0.92797,                 0.8724,                  1.235,               0.000328,               0.000328,               0.000328
                     26,                  1.086,                 1.0609,                 1.3264,                0.91427,                0.92296,                0.97906,                0.78344,                0.85812,                0.84758,                 1.1853,             0.00031562,             0.00031562,             0.00031562
                     27,                 1.1333,                 1.0853,                 1.2426,                 0.9069,                0.90469,                0.97894,                0.76997,                 0.8597,                0.96015,                 1.2198,             0.00030325,             0.00030325,             0.00030325
                     28,                 1.0498,                0.94538,                 1.2694,                 0.9395,                  0.919,                0.97902,                0.77248,                0.85967,                0.82275,                 1.2135,             0.00029088,             0.00029088,             0.00029088
                     29,                 1.0043,                0.96783,                 1.2523,                0.93933,                0.93054,                0.98348,                0.80337,                0.79036,                0.74598,                 1.1704,              0.0002785,              0.0002785,              0.0002785
                     30,                 1.0212,                0.91763,                 1.2081,                 0.9693,                0.97669,                0.99104,                 0.7547,                0.95323,                0.72397,                  1.235,             0.00026613,             0.00026613,             0.00026613
                     31,                0.96627,                 0.8772,                 1.2414,                0.96089,                0.95664,                0.99112,                0.81503,                0.75732,                0.69243,                 1.1298,             0.00025375,             0.00025375,             0.00025375
                     32,                0.98246,                0.88053,                 1.2382,                0.95432,                0.95615,                0.99101,                0.81084,                0.78354,                0.70477,                 1.1305,             0.00024137,             0.00024137,             0.00024137
                     33,                0.98127,                0.98898,                 1.2805,                0.94158,                0.95947,                0.98678,                0.79444,                0.81268,                0.75404,                 1.1323,               0.000229,               0.000229,               0.000229
                     34,                0.89555,                0.80652,                 1.1584,                0.97124,                0.96382,                0.98958,                0.81266,                0.77189,                0.63858,                 1.1134,             0.00021662,             0.00021662,             0.00021662
                     35,                0.93878,                0.80583,                 1.1728,                0.98074,                0.97047,                0.99099,                0.82427,                0.73609,                0.62121,                 1.1007,             0.00020425,             0.00020425,             0.00020425
                     36,                0.89964,                 0.8605,                  1.175,                0.97618,                0.97502,                0.99155,                0.82143,                0.72282,                0.65745,                 1.0853,             0.00019188,             0.00019188,             0.00019188
                     37,                0.88268,                0.82325,                 1.1362,                0.97564,                0.97891,                0.99185,                0.81742,                0.74122,                 0.6216,                 1.0866,              0.0001795,              0.0001795,              0.0001795
                     38,                0.87867,                0.75242,                 1.1622,                0.98221,                0.97809,                0.99321,                0.82202,                0.72274,                 0.6148,                 1.0783,             0.00016713,             0.00016713,             0.00016713
                     39,                 0.8805,                0.77502,                  1.146,                0.98356,                 0.9767,                0.99313,                 0.8313,                0.70168,                0.62122,                 1.0601,             0.00015475,             0.00015475,             0.00015475
                     40,                0.86226,                0.84041,                 1.3326,                0.98248,                0.97267,                0.99324,                0.83536,                0.69334,                0.61854,                 1.0585,             0.00014237,             0.00014237,             0.00014237
                     41,                0.80183,                0.79391,                 1.1916,                0.98009,                0.97936,                0.99288,                0.82557,                0.72718,                0.63895,                 1.0769,                0.00013,                0.00013,                0.00013
                     42,                0.75133,                0.72537,                 1.1617,                0.98926,                0.96899,                0.98973,                0.83761,                0.68203,                0.64563,                 1.0669,             0.00011763,             0.00011763,             0.00011763
                     43,                 0.7761,                0.73186,                 1.2313,                0.97479,                0.97325,                0.98951,                0.81703,                0.75718,                0.72648,                 1.0911,             0.00010525,             0.00010525,             0.00010525
                     44,                0.81847,                0.73814,                 1.1908,                0.97329,                0.97227,                0.99088,                0.82079,                0.77121,                0.73389,                 1.0852,             9.2875e-05,             9.2875e-05,             9.2875e-05
                     45,                0.78594,                0.70032,                 1.1262,                0.97702,                0.97618,                0.99131,                0.84109,                0.68431,                0.71005,                 1.0487,               8.05e-05,               8.05e-05,               8.05e-05
                     46,                0.76373,                0.67843,                 1.2187,                0.98622,                0.96781,                0.99239,                0.83672,                0.68277,                 0.7006,                 1.0466,             6.8125e-05,             6.8125e-05,             6.8125e-05
                     47,                0.73765,                0.66214,                 1.1819,                0.98612,                0.96778,                0.99278,                0.84074,                0.67856,                0.64554,                 1.0351,              5.575e-05,              5.575e-05,              5.575e-05
                     48,                0.75613,                0.73358,                 1.1351,                0.97265,                0.98458,                0.99299,                0.84429,                0.66484,                0.60734,                 1.0241,             4.3375e-05,             4.3375e-05,             4.3375e-05
                     49,                0.72565,                0.65693,                 1.1183,                0.97664,                0.98842,                0.99343,                0.85234,                0.65007,                0.54036,                 1.0107,                3.1e-05,                3.1e-05,                3.1e-05
