                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  5.117,                 6.2217,                 4.9357,                      0,                      0,                      0,                      0,                 5.7484,                 5.0683,                   4.16,               3.75e-05,               3.75e-05,               3.75e-05
                      1,                  5.005,                 5.3582,                 4.6653,                      0,                      0,                      0,                      0,                 5.7519,                 5.0746,                 4.1645,             8.0714e-05,             8.0714e-05,             8.0714e-05
                      2,                 3.5554,                 3.8375,                 4.0237,                      0,                      0,                      0,                      0,                 5.7611,                 5.0891,                 4.1762,             0.00012335,             0.00012335,             0.00012335
                      3,                 2.8304,                 3.1389,                  3.434,                      0,                      0,                      0,                      0,                 5.7752,                 5.1074,                 4.1904,             0.00016541,             0.00016541,             0.00016541
                      4,                 2.5074,                 2.7847,                 3.1359,                      0,                      0,                      0,                      0,                 5.7922,                 5.1326,                 4.2115,             0.00020689,             0.00020689,             0.00020689
                      5,                 2.3201,                 2.4476,                 2.6151,                      0,                      0,                      0,                      0,                 5.8069,                 5.1574,                 4.2301,             0.00024779,             0.00024779,             0.00024779
                      6,                 1.9831,                 2.2738,                 2.5121,                      0,                      0,                      0,                      0,                 5.8302,                 5.1929,                 4.2551,             0.00028812,             0.00028812,             0.00028812
                      7,                 1.8361,                 2.0072,                 2.2385,                      0,                      0,                      0,                      0,                 5.8396,                 5.2116,                 4.2716,             0.00032787,             0.00032787,             0.00032787
                      8,                 1.9538,                 1.8808,                 2.1164,                      0,                      0,                      0,                      0,                 5.8623,                 5.2243,                 4.2951,             0.00036704,             0.00036704,             0.00036704
                      9,                 1.7088,                  1.788,                 2.0614,                      0,                      0,                      0,                      0,                 5.8747,                 5.2177,                 4.3112,             0.00040563,             0.00040563,             0.00040563
