                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.4897,                 6.0972,                 4.6463,                      0,                      0,                      0,                      0,                 4.6983,                 5.5141,                 4.1683,              3.456e-05,              3.456e-05,              3.456e-05
                      2,                 3.6994,                 5.2813,                 4.1119,                      0,                      0,                      0,                      0,                 4.7221,                 5.5334,                 4.1923,             7.0688e-05,             7.0688e-05,             7.0688e-05
                      3,                 2.8743,                 4.2828,                 3.5034,                      0,                      0,                      0,                      0,                 4.7777,                 5.5743,                 4.2405,             0.00010646,             0.00010646,             0.00010646
                      4,                 2.3348,                 3.5301,                 3.0356,                      0,                      0,                      0,                      0,                  4.831,                 5.6083,                 4.2785,             0.00014186,             0.00014186,             0.00014186
                      5,                 2.0215,                 3.0905,                 2.7433,                      0,                      0,                      0,                      0,                 4.8635,                 5.6381,                 4.3017,             0.00017691,             0.00017691,             0.00017691
                      6,                 1.7789,                  2.759,                 2.4977,                      0,                      0,                      0,                      0,                 4.7126,                 5.5543,                 4.2287,             0.00018725,             0.00018725,             0.00018725
                      7,                 1.7082,                 2.6804,                 2.3213,                0.53388,                0.21207,                0.19222,                0.10422,                 1.7977,                 2.9188,                 2.7612,             0.00018725,             0.00018725,             0.00018725
                      8,                 1.6433,                 2.5366,                 2.1814,                  0.433,                0.22787,                 0.2414,                0.14064,                 1.8241,                 2.6578,                 2.5016,              0.0001863,              0.0001863,              0.0001863
                      9,                 1.4817,                 2.3333,                 2.0291,                 0.0743,                0.84723,                0.23373,                0.14333,                 1.5784,                 2.9238,                 2.3079,             0.00018535,             0.00018535,             0.00018535
                     10,                  1.407,                 2.2343,                 1.8852,                0.38672,                0.26236,                0.33304,                0.21746,                 1.3218,                 2.4938,                 2.0673,              0.0001844,              0.0001844,              0.0001844
