frames,x1,y1,x2,y2,class
frame0,318,92,376,152,green_metal_cube
frame0,180,71,218,108,yellow_rubber_sphere
frame0,232,96,275,149,green_rubber_cylinder
frame1,318,91,376,152,green_metal_cube
frame1,180,71,218,108,yellow_rubber_sphere
frame1,232,96,275,149,green_rubber_cylinder
frame2,318,91,376,152,green_metal_cube
frame2,180,71,218,108,yellow_rubber_sphere
frame2,232,96,275,149,green_rubber_cylinder
frame3,318,91,376,152,green_metal_cube
frame3,180,71,218,108,yellow_rubber_sphere
frame3,232,96,275,149,green_rubber_cylinder
frame4,318,91,376,152,green_metal_cube
frame4,180,71,218,108,yellow_rubber_sphere
frame4,232,96,275,149,green_rubber_cylinder
frame5,318,91,376,152,green_metal_cube
frame5,180,70,218,108,yellow_rubber_sphere
frame5,232,96,275,149,green_rubber_cylinder
frame6,318,91,376,152,green_metal_cube
frame6,180,70,218,108,yellow_rubber_sphere
frame6,232,96,275,149,green_rubber_cylinder
frame7,318,91,376,152,green_metal_cube
frame7,180,70,218,108,yellow_rubber_sphere
frame7,232,96,275,149,green_rubber_cylinder
frame8,318,91,376,152,green_metal_cube
frame8,180,70,218,108,yellow_rubber_sphere
frame8,232,96,275,149,green_rubber_cylinder
frame9,318,91,376,152,green_metal_cube
frame9,180,70,218,108,yellow_rubber_sphere
frame9,232,96,275,149,green_rubber_cylinder
frame10,318,91,376,152,green_metal_cube
frame10,180,70,218,108,yellow_rubber_sphere
frame10,232,96,275,149,green_rubber_cylinder
frame11,318,91,376,152,green_metal_cube
frame11,180,70,218,108,yellow_rubber_sphere
frame11,232,96,275,149,green_rubber_cylinder
frame12,318,91,376,152,green_metal_cube
frame12,180,70,218,108,yellow_rubber_sphere
frame12,232,96,275,149,green_rubber_cylinder
frame13,318,91,376,152,green_metal_cube
frame13,180,70,218,108,yellow_rubber_sphere
frame13,232,96,275,149,green_rubber_cylinder
frame13,0,193,44,282,gray_rubber_cube
frame14,318,91,376,152,green_metal_cube
frame14,180,70,218,108,yellow_rubber_sphere
frame14,232,96,275,149,green_rubber_cylinder
frame15,318,91,376,152,green_metal_cube
frame15,180,70,218,109,yellow_rubber_sphere
frame15,232,96,275,149,green_rubber_cylinder
frame15,0,188,33,278,yellow_rubber_cube
frame16,318,91,376,152,green_metal_cube
frame16,180,70,218,109,yellow_rubber_sphere
frame16,232,96,275,149,green_rubber_cylinder
frame16,0,188,46,278,yellow_rubber_cube
frame17,318,91,376,152,green_metal_cube
frame17,180,70,218,109,yellow_rubber_sphere
frame17,232,96,275,149,green_rubber_cylinder
frame17,0,187,57,277,yellow_rubber_cube
frame18,318,91,376,152,green_metal_cube
frame18,0,185,68,272,yellow_rubber_cube
frame18,180,70,218,109,yellow_rubber_sphere
frame18,232,96,275,149,green_rubber_cylinder
frame19,318,91,376,152,green_metal_cube
frame19,0,181,76,269,yellow_rubber_cube
frame19,180,70,218,109,yellow_rubber_sphere
frame19,232,96,275,149,green_rubber_cylinder
frame19,440,249,480,320,gray_metal_cube
frame20,432,242,480,320,gray_metal_cube
frame20,318,91,376,152,green_metal_cube
frame20,180,70,218,109,yellow_rubber_sphere
frame20,232,96,275,149,green_rubber_cylinder
frame20,8,179,85,265,yellow_rubber_cube
frame21,422,236,479,320,gray_metal_cube
frame21,318,91,376,152,green_metal_cube
frame21,180,70,218,109,yellow_rubber_sphere
frame21,18,177,94,262,yellow_rubber_cube
frame21,232,96,275,149,green_rubber_cylinder
frame22,318,91,376,152,green_metal_cube
frame22,414,231,480,320,gray_metal_cube
frame22,28,175,104,256,yellow_rubber_cube
frame22,180,70,218,109,yellow_rubber_sphere
frame22,232,96,275,149,green_rubber_cylinder
frame23,38,172,112,253,yellow_rubber_cube
frame23,318,91,375,152,green_metal_cube
frame23,180,70,218,109,yellow_rubber_sphere
frame23,406,228,480,320,gray_metal_cube
frame23,233,96,275,148,green_rubber_cylinder
frame24,318,91,375,152,green_metal_cube
frame24,180,70,218,109,yellow_rubber_sphere
frame24,233,95,275,148,green_rubber_cylinder
frame24,47,170,121,251,yellow_rubber_cube
frame24,399,221,479,315,gray_metal_cube
frame25,318,92,375,152,green_metal_cube
frame25,55,168,129,247,yellow_rubber_cube
frame25,180,70,218,109,yellow_rubber_sphere
frame25,232,95,275,148,green_rubber_cylinder
frame25,392,216,472,309,gray_metal_cube
frame26,317,92,375,152,green_metal_cube
frame26,63,165,137,245,yellow_rubber_cube
frame26,180,70,218,109,yellow_rubber_sphere
frame26,233,95,275,148,green_rubber_cylinder
frame26,388,211,464,302,gray_metal_cube
frame27,318,92,375,152,green_metal_cube
frame27,73,163,146,242,yellow_rubber_cube
frame27,232,96,275,149,green_rubber_cylinder
frame27,379,206,454,295,gray_metal_cube
frame27,180,70,218,109,yellow_rubber_sphere
frame28,81,161,153,239,yellow_rubber_cube
frame28,318,92,375,152,green_metal_cube
frame28,232,96,275,149,green_rubber_cylinder
frame28,180,70,218,109,yellow_rubber_sphere
frame28,374,199,447,289,gray_metal_cube
frame29,88,159,161,237,yellow_rubber_cube
frame29,318,92,375,152,green_metal_cube
frame29,368,197,439,284,gray_metal_cube
frame29,232,96,275,149,green_rubber_cylinder
frame29,180,70,218,109,yellow_rubber_sphere
frame30,318,92,375,152,green_metal_cube
frame30,97,157,169,234,yellow_rubber_cube
frame30,232,96,275,149,green_rubber_cylinder
frame30,180,70,218,109,yellow_rubber_sphere
frame30,362,193,432,278,gray_metal_cube
frame31,105,155,177,231,yellow_rubber_cube
frame31,318,92,375,152,green_metal_cube
frame31,232,96,275,149,green_rubber_cylinder
frame31,180,70,218,109,yellow_rubber_sphere
frame31,356,188,425,272,gray_metal_cube
frame32,112,153,183,228,yellow_rubber_cube
frame32,350,183,417,267,gray_metal_cube
frame32,232,96,275,149,green_rubber_cylinder
frame32,318,92,375,151,green_metal_cube
frame32,180,70,218,109,yellow_rubber_sphere
frame33,120,151,191,226,yellow_rubber_cube
frame33,318,92,375,151,green_metal_cube
frame33,232,96,275,149,green_rubber_cylinder
frame33,180,69,218,109,yellow_rubber_sphere
frame33,344,179,411,263,gray_metal_cube
frame34,339,176,405,257,gray_metal_cube
